,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,change,changepct,volume,color,name,exp_type,user_id,exp_seq
194,8,V,0,0,0,0,0,-1,0.33469190396753723,213.4,2.01,0.95,8882718,#E24A4A,Visa Inc,Base,2,4
195,9,HD,0,0,0,0,0,-1,0.3142672745105686,415.4,4.06,0.99,2625183,#E24A4A,Home Depot Inc,Base,2,4
196,10,JNJ,0,0,0,0,0,-1,0.2804681132742132,165.49,-0.41,-0.25,6572247,#3485FF,Johnson & Johnson,Base,2,4
197,11,IONQ,0,0,0,0,0,-1,0.27782164245957497,18.57,-0.04,-0.21,3626935,#3485FF,IONQ Inc,Base,2,4
198,12,WMT,0,0,0,0,0,-1,0.2708149832688945,141.03,2.53,1.83,12858541,#E24A4A,Walmart Inc,Base,2,4
199,13,BAC,0,0,0,0,0,-1,0.2106459513004428,44.52,0.03,0.07,37700187,#E24A4A,Bank of America Corp,Base,2,4
200,14,PG,0,0,0,0,0,-1,0.20308750015515106,155.46,2.14,1.4,7172321,#E24A4A,Procter & Gamble Co,Base,2,4
201,15,MA,0,0,0,0,0,-1,0.1946789952938041,349.92,5.4,1.57,3405910,#E24A4A,Mastercard Inc,Base,2,4
202,16,ADBE,0,0,0,0,0,-1,0.1623140035864846,654.45,21.88,3.46,2872975,#E24A4A,Adobe Inc,Base,2,4
203,17,NFLX,0,0,0,0,0,-1,0.15136052367812072,611.66,0.66,0.11,2748774,#E24A4A,Netflix Inc,Base,2,4
204,18,PFE,0,0,0,0,0,-1,0.13355996878001092,52.78,0.7,1.34,26079361,#E24A4A,Pfizer Inc.,Base,2,4
205,19,NKE,0,0,0,0,0,-1,0.13312910423127106,169.06,0.96,0.57,4791125,#E24A4A,Nike Inc,Base,2,4
206,104,DIS,0,0,0,0,-1,-1,-1.0,152.71,-0.23,-0.15,10247891,#3485FF,Walt Disney Co,Base,2,4
207,115,BA,0,0,0,0,-1,-1,-1.0,205.06,-2.5,-1.2,6040048,#3485FF,Boeing Co,Base,2,4
208,117,MRNA,0,0,0,0,-1,-1,-1.0,257.06,-15.15,-5.57,17506624,#3485FF,Moderna Inc,Base,2,4
209,100,FB,0,0,0,0,-1,-1,-1.0,329.75,-0.07,-0.02,14527969,#3485FF,Meta Platforms Inc,Base,2,4
210,103,RBLX,0,0,0,0,-1,-1,-1.0,115.89,-0.41,-0.35,11778202,#3485FF,Roblox Corp,Base,2,4
